-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2019 through 12/31/2020 
Location: Latitude  38.8762   Longitude -77.028 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 83.32 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
WS2M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 2 Meters (m/s) 
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
WS10M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 10 Meters (m/s) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) 
T2MWET MERRA2 1/2x1/2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
WS2M_MIN MERRA2 1/2x1/2 Minimum Wind Speed at 2 Meters (m/s) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
WS2M_MAX MERRA2 1/2x1/2 Maximum Wind Speed at 2 Meters (m/s) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,DOY,WS2M_RANGE,T2M_MIN,WS2M,WS10M_RANGE,T2M,T2MDEW,T2MWET,T2M_MAX,WS2M_MIN,ALLSKY_SFC_SW_DWN,T2M_RANGE,PS,WS2M_MAX,PRECTOT,RH2M
38.87621,-77.02799,2019,024,    3.03,   -2.62,    3.16,    5.08,    6.41,    6.19,    5.13,   12.10,    1.67,              1.34,   14.72,   99.44,    4.70,   21.57,   98.51
38.87621,-77.02799,2019,025,    2.89,   -3.98,    1.92,    4.68,   -1.16,   -4.62,   -4.47,    3.44,    0.77,             10.81,    7.42,  100.90,    3.66,    0.00,   77.30
38.87621,-77.02799,2019,026,    1.03,   -3.48,    0.83,    1.68,   -0.34,   -5.76,   -5.51,    3.23,    0.31,              9.73,    6.70,  101.33,    1.34,    0.00,   66.66
38.87621,-77.02799,2019,027,    1.94,   -3.11,    1.72,    2.87,    0.90,   -0.99,   -1.10,    7.31,    1.00,              8.44,   10.42,  100.74,    2.94,    0.00,   87.31
38.87621,-77.02799,2019,028,    1.58,   -2.68,    1.55,    2.24,   -1.04,   -4.89,   -4.75,    2.18,    0.76,             11.28,    4.86,  100.74,    2.34,    0.00,   74.98
38.87621,-77.02799,2019,029,    1.79,   -4.61,    1.93,    3.18,   -0.66,   -1.65,   -1.74,    2.49,    0.91,              2.77,    7.10,  100.20,    2.70,    4.29,   93.18
38.87621,-77.02799,2019,030,    5.18,  -14.39,    3.25,    8.68,   -6.99,  -11.23,  -10.96,    0.38,    0.53,              9.60,   14.77,  100.87,    5.71,    0.00,   71.58
38.87621,-77.02799,2019,031,    1.62,  -14.70,    1.55,    2.07,  -10.08,  -15.68,  -14.30,   -4.87,    0.81,             12.80,    9.84,  101.99,    2.42,    0.00,   63.45
38.87621,-77.02799,2019,032,    1.22,  -10.34,    1.19,    2.10,   -6.89,   -9.80,   -9.34,   -3.77,    0.56,              3.41,    6.56,  101.89,    1.79,    1.30,   79.79
38.87621,-77.02799,2019,033,    1.93,   -9.23,    1.16,    3.08,   -3.37,   -4.54,   -4.90,    3.30,    0.05,             12.57,   12.53,  101.60,    1.98,    0.00,   91.79
38.87621,-77.02799,2019,034,    1.04,   -1.20,    0.86,    2.69,    2.34,    1.55,    1.40,    9.31,    0.20,             11.66,   10.51,  101.03,    1.24,    0.00,   94.69
38.87621,-77.02799,2019,035,    1.18,    1.03,    0.87,    3.16,    5.07,    3.71,    3.59,   12.91,    0.14,             12.88,   11.88,  100.75,    1.31,    0.08,   91.13
38.87621,-77.02799,2019,036,    0.85,    1.40,    1.21,    1.22,    9.36,    8.32,    7.78,   19.03,    0.86,            -99.00,   17.63,  100.64,    1.70,    0.05,   93.34
38.87621,-77.02799,2019,037,    2.57,    3.74,    1.59,    4.12,    8.33,    7.88,    7.63,   13.11,    0.45,              7.56,    9.38,  100.82,    3.02,    1.97,   97.10
38.87621,-77.02799,2019,038,    1.17,    4.50,    1.21,    2.42,    8.03,    7.64,    7.50,   11.81,    0.43,              5.03,    7.31,  100.62,    1.60,    0.70,   97.51
38.87621,-77.02799,2019,039,    3.70,   -1.16,    2.94,    5.23,    7.23,    5.25,    4.07,   11.07,    1.14,             11.71,   12.23,  100.96,    4.84,    0.82,   87.38
38.87621,-77.02799,2019,040,    2.97,   -4.43,    2.63,    4.20,   -2.45,   -7.31,   -6.93,    0.88,    0.94,             13.68,    5.31,  102.87,    3.91,    0.00,   69.14
38.87621,-77.02799,2019,041,    1.03,   -4.81,    1.09,    1.16,   -0.84,   -4.39,   -4.36,    3.26,    0.61,             10.79,    8.07,  102.52,    1.65,    2.21,   76.82
38.87621,-77.02799,2019,042,    1.01,   -0.97,    1.17,    1.78,    0.13,   -0.59,   -0.55,    1.54,    0.71,              2.86,    2.51,  101.47,    1.71,   10.95,   95.07
38.87621,-77.02799,2019,043,    1.58,   -0.18,    1.74,    2.51,    0.93,    0.66,    0.64,    1.95,    1.10,              2.62,    2.13,  100.56,    2.68,   20.32,   98.18
38.87621,-77.02799,2019,044,    1.69,   -2.78,    2.18,    2.85,    0.82,   -1.31,   -1.34,    4.69,    1.61,             13.38,    7.47,  100.08,    3.29,    0.31,   85.76
38.87621,-77.02799,2019,045,    1.13,   -3.60,    1.44,    2.66,    2.23,   -0.44,   -0.69,    8.09,    0.86,             10.58,   11.69,  100.71,    1.99,    0.00,   82.51
38.87621,-77.02799,2019,046,    1.81,    3.83,    2.37,    2.65,    8.62,    7.05,    6.78,   15.00,    1.58,              9.54,   11.17,   99.80,    3.39,    0.00,   90.01
38.87621,-77.02799,2019,047,    1.64,   -2.35,    1.97,    2.09,    1.53,   -1.44,   -1.45,    4.77,    1.24,              8.63,    7.13,  100.36,    2.88,    0.37,   80.61
38.87621,-77.02799,2019,048,    1.63,   -3.65,    1.52,    2.94,    0.09,   -1.88,   -1.92,    3.29,    0.82,              4.24,    6.94,  100.68,    2.45,    5.65,   86.74
38.87621,-77.02799,2019,049,    3.48,   -1.18,    2.69,    5.36,    3.01,    0.47,    0.42,    7.27,    1.26,             11.73,    8.45,  100.72,    4.74,    5.63,   83.42
38.87621,-77.02799,2019,050,    1.97,   -4.07,    1.65,    2.84,   -0.21,   -4.40,   -4.27,    3.81,    0.73,             13.80,    7.88,  102.50,    2.70,    0.01,   73.25
38.87621,-77.02799,2019,051,    2.32,   -1.39,    1.74,    3.67,   -0.38,   -1.45,   -1.41,    0.36,    0.75,              2.26,    1.75,  101.81,    3.07,   22.31,   92.68
38.87621,-77.02799,2019,052,    0.77,   -0.77,    1.21,    1.68,    2.87,    1.45,    1.37,    8.27,    0.77,             12.70,    9.05,  100.82,    1.53,    1.58,   90.54
38.87621,-77.02799,2019,053,    0.63,    1.44,    1.05,    1.62,    3.60,    1.27,    1.27,    6.97,    0.73,              6.19,    5.54,  101.82,    1.36,    1.10,   84.78
38.87621,-77.02799,2019,054,    0.99,    0.37,    1.34,    1.45,    1.71,    1.00,    1.00,    2.75,    0.90,              3.19,    2.38,  101.64,    1.89,    9.54,   95.15
38.87621,-77.02799,2019,055,    3.93,    2.21,    2.86,    7.22,    5.30,    3.89,    3.64,   12.75,    0.79,             11.97,   10.54,   99.61,    4.73,   10.71,   90.76
38.87621,-77.02799,2019,056,    4.37,   -1.78,    4.10,    6.74,    1.95,   -2.94,   -2.89,    5.81,    1.51,             17.58,    7.59,  100.93,    5.88,    0.00,   69.83
38.87621,-77.02799,2019,057,    1.42,   -2.68,    1.42,    2.83,    2.59,   -1.74,   -1.88,   10.33,    0.67,             16.18,   13.01,  101.84,    2.09,    0.00,   72.98
38.87621,-77.02799,2019,058,    1.28,   -2.57,    1.69,    1.78,    1.46,   -0.46,   -0.61,    5.47,    1.21,             10.74,    8.04,  101.33,    2.49,    0.00,   87.18
38.87621,-77.02799,2019,059,    2.50,    0.85,    2.01,    4.00,    3.42,    0.14,    0.07,    7.15,    1.06,             17.28,    6.30,  101.00,    3.56,    0.05,   79.03
